Date : 2026-06-15 13:52:14
Directory : /home/morit/Studium/Master/Forschungsprojekt/nextpnr
Total : 1369 files,  325095 codes, 67140 comments, 57768 blanks, all 450003 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
+-----------------------------+------------+------------+------------+------------+------------+
| C++                         |        750 |    244,339 |     61,553 |     40,565 |    346,457 |
| Python                      |        139 |     22,224 |      3,821 |      4,860 |     30,905 |
| Verilog                     |         76 |     15,464 |        351 |      1,422 |     17,237 |
| Markdown                    |         71 |     13,758 |         11 |      4,688 |     18,457 |
| CMake                       |        131 |      9,900 |          0 |      1,641 |     11,541 |
| reStructuredText            |         32 |      7,867 |        664 |      3,190 |     11,721 |
| XML                         |         19 |      3,133 |          5 |          7 |      3,145 |
| YAML                        |         28 |      2,409 |        207 |        427 |      3,043 |
| C                           |          3 |      1,687 |        194 |        108 |      1,989 |
| Rust                        |         38 |      1,492 |         32 |        256 |      1,780 |
| Objective-C++               |          5 |        962 |        111 |        230 |      1,303 |
| Shell Script                |         38 |        733 |        121 |        142 |        996 |
| System Verilog              |          5 |        434 |         26 |         87 |        547 |
| SCSS                        |          2 |        165 |          3 |         39 |        207 |
| JSON                        |          1 |         91 |          0 |          1 |         92 |
| Batch                       |         12 |         80 |         20 |         31 |        131 |
| Xilinx Design Constraints   |          2 |         73 |         16 |         15 |        104 |
| HTML                        |          1 |         57 |          0 |          2 |         59 |
| VHDL                        |          2 |         44 |          1 |         13 |         58 |
| Tcl                         |          2 |         41 |          4 |          6 |         51 |
| Properties                  |          1 |         39 |          0 |          5 |         44 |
| GLSL                        |          2 |         32 |          0 |          9 |         41 |
| Objective-C                 |          2 |         23 |          0 |         14 |         37 |
| Ini                         |          3 |         22 |          0 |          3 |         25 |
| pip requirements            |          2 |         21 |          0 |          2 |         23 |
| PostCSS                     |          1 |          3 |          0 |          1 |          4 |
| Synopsys Design Constraints |          1 |          2 |          0 |          4 |          6 |
+-----------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |      1,369 |    325,095 |     67,140 |     57,768 |    450,003 |
| . (Files)                                                                                                                                              |          3 |        632 |          3 |        174 |        809 |
| .github                                                                                                                                                |         10 |        295 |         18 |         63 |        376 |
| .github/ci                                                                                                                                             |          9 |        213 |         17 |         49 |        279 |
| .github/workflows                                                                                                                                      |          1 |         82 |          1 |         14 |         97 |
| 3rdparty                                                                                                                                               |        820 |    193,181 |     54,391 |     40,425 |    287,997 |
| 3rdparty/QtPropertyBrowser                                                                                                                             |         50 |     19,838 |     11,107 |      4,055 |     35,000 |
| 3rdparty/QtPropertyBrowser (Files)                                                                                                                     |          2 |          8 |          0 |          4 |         12 |
| 3rdparty/QtPropertyBrowser/cmake                                                                                                                       |          5 |        151 |          0 |         33 |        184 |
| 3rdparty/QtPropertyBrowser/examples                                                                                                                    |         25 |      8,535 |      5,986 |      1,850 |     16,371 |
| 3rdparty/QtPropertyBrowser/examples (Files)                                                                                                            |          1 |         12 |          0 |          4 |         16 |
| 3rdparty/QtPropertyBrowser/examples/canvas_typed                                                                                                       |          6 |      3,740 |      2,853 |        808 |      7,401 |
| 3rdparty/QtPropertyBrowser/examples/canvas_variant                                                                                                     |          6 |      3,660 |      2,853 |        795 |      7,308 |
| 3rdparty/QtPropertyBrowser/examples/decoration                                                                                                         |          2 |        233 |         41 |         55 |        329 |
| 3rdparty/QtPropertyBrowser/examples/demo                                                                                                               |          2 |        158 |         38 |         36 |        232 |
| 3rdparty/QtPropertyBrowser/examples/extension                                                                                                          |          2 |        178 |         38 |         38 |        254 |
| 3rdparty/QtPropertyBrowser/examples/object_controller                                                                                                  |          4 |        438 |        125 |         78 |        641 |
| 3rdparty/QtPropertyBrowser/examples/simple                                                                                                             |          2 |        116 |         38 |         36 |        190 |
| 3rdparty/QtPropertyBrowser/src                                                                                                                         |         18 |     11,144 |      5,121 |      2,168 |     18,433 |
| 3rdparty/corrosion                                                                                                                                     |        127 |      6,500 |         39 |      1,109 |      7,648 |
| 3rdparty/corrosion (Files)                                                                                                                             |          3 |        484 |          0 |        159 |        643 |
| 3rdparty/corrosion/.github                                                                                                                             |          7 |        770 |         25 |         34 |        829 |
| 3rdparty/corrosion/.github (Files)                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| 3rdparty/corrosion/.github/ISSUE_TEMPLATE                                                                                                              |          1 |         77 |          0 |          5 |         82 |
| 3rdparty/corrosion/.github/actions                                                                                                                     |          1 |        179 |          4 |          2 |        185 |
| 3rdparty/corrosion/.github/actions/setup_test                                                                                                          |          1 |        179 |          4 |          2 |        185 |
| 3rdparty/corrosion/.github/scripts                                                                                                                     |          1 |         54 |          1 |          5 |         60 |
| 3rdparty/corrosion/.github/workflows                                                                                                                   |          3 |        459 |         20 |         21 |        500 |
| 3rdparty/corrosion/cmake                                                                                                                               |          3 |      2,696 |          0 |        363 |      3,059 |
| 3rdparty/corrosion/doc                                                                                                                                 |          8 |        546 |          0 |        164 |        710 |
| 3rdparty/corrosion/doc/src                                                                                                                             |          8 |        546 |          0 |        164 |        710 |
| 3rdparty/corrosion/generator                                                                                                                           |          4 |        492 |          8 |         49 |        549 |
| 3rdparty/corrosion/generator (Files)                                                                                                                   |          1 |         57 |          0 |          8 |         65 |
| 3rdparty/corrosion/generator/src                                                                                                                       |          3 |        435 |          8 |         41 |        484 |
| 3rdparty/corrosion/generator/src (Files)                                                                                                               |          1 |         80 |          2 |         14 |         96 |
| 3rdparty/corrosion/generator/src/subcommands                                                                                                           |          2 |        355 |          6 |         27 |        388 |
| 3rdparty/corrosion/generator/src/subcommands (Files)                                                                                                   |          1 |        145 |          3 |         13 |        161 |
| 3rdparty/corrosion/generator/src/subcommands/gen_cmake                                                                                                 |          1 |        210 |          3 |         14 |        227 |
| 3rdparty/corrosion/test                                                                                                                                |        102 |      1,512 |          6 |        340 |      1,858 |
| 3rdparty/corrosion/test (Files)                                                                                                                        |          3 |        275 |          0 |         31 |        306 |
| 3rdparty/corrosion/test/cargo_flags                                                                                                                    |          4 |         31 |          0 |         12 |         43 |
| 3rdparty/corrosion/test/cargo_flags (Files)                                                                                                            |          1 |          2 |          0 |          2 |          4 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags                                                                                                        |          3 |         29 |          0 |         10 |         39 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags (Files)                                                                                                |          2 |         17 |          0 |          7 |         24 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags/rust                                                                                                   |          1 |         12 |          0 |          3 |         15 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags/rust/src                                                                                               |          1 |         12 |          0 |          3 |         15 |
| 3rdparty/corrosion/test/cbindgen                                                                                                                       |          4 |         58 |          2 |         12 |         72 |
| 3rdparty/corrosion/test/cbindgen (Files)                                                                                                               |          1 |          8 |          0 |          2 |         10 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp                                                                                                              |          3 |         50 |          2 |         10 |         62 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp (Files)                                                                                                      |          2 |         26 |          0 |          5 |         31 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp/rust                                                                                                         |          1 |         24 |          2 |          5 |         31 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp/rust/src                                                                                                     |          1 |         24 |          2 |          5 |         31 |
| 3rdparty/corrosion/test/cpp2rust                                                                                                                       |          7 |         78 |          1 |         24 |        103 |
| 3rdparty/corrosion/test/cpp2rust (Files)                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust                                                                                                              |          6 |         74 |          1 |         22 |         97 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust (Files)                                                                                                      |          3 |         40 |          0 |         11 |         51 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust/path with space                                                                                              |          1 |          4 |          1 |          4 |          9 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust/rust                                                                                                         |          2 |         30 |          0 |          7 |         37 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust/rust/rust_dependency                                                                                         |          1 |          7 |          0 |          2 |          9 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust/rust/rust_dependency/src                                                                                     |          1 |          7 |          0 |          2 |          9 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust/rust/src                                                                                                     |          1 |         23 |          0 |          5 |         28 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust/rust/src/bin                                                                                                 |          1 |         23 |          0 |          5 |         28 |
| 3rdparty/corrosion/test/crate_type                                                                                                                     |          5 |         28 |          0 |         10 |         38 |
| 3rdparty/corrosion/test/crate_type (Files)                                                                                                             |          1 |          4 |          0 |          3 |          7 |
| 3rdparty/corrosion/test/crate_type/crate_type                                                                                                          |          4 |         24 |          0 |          7 |         31 |
| 3rdparty/corrosion/test/crate_type/crate_type (Files)                                                                                                  |          2 |         16 |          0 |          5 |         21 |
| 3rdparty/corrosion/test/crate_type/crate_type/proj1                                                                                                    |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/crate_type/crate_type/proj1/src                                                                                                |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/crate_type/crate_type/proj2                                                                                                    |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/crate_type/crate_type/proj2/src                                                                                                |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/custom_profiles                                                                                                                |          7 |         72 |          0 |         25 |         97 |
| 3rdparty/corrosion/test/custom_profiles (Files)                                                                                                        |          1 |         24 |          0 |          4 |         28 |
| 3rdparty/corrosion/test/custom_profiles/basic_profiles                                                                                                 |          3 |         19 |          0 |         10 |         29 |
| 3rdparty/corrosion/test/custom_profiles/basic_profiles (Files)                                                                                         |          2 |         13 |          0 |          7 |         20 |
| 3rdparty/corrosion/test/custom_profiles/basic_profiles/rust                                                                                            |          1 |          6 |          0 |          3 |          9 |
| 3rdparty/corrosion/test/custom_profiles/basic_profiles/rust/src                                                                                        |          1 |          6 |          0 |          3 |          9 |
| 3rdparty/corrosion/test/custom_profiles/custom_profiles                                                                                                |          3 |         29 |          0 |         11 |         40 |
| 3rdparty/corrosion/test/custom_profiles/custom_profiles (Files)                                                                                        |          2 |         21 |          0 |          7 |         28 |
| 3rdparty/corrosion/test/custom_profiles/custom_profiles/rust                                                                                           |          1 |          8 |          0 |          4 |         12 |
| 3rdparty/corrosion/test/custom_profiles/custom_profiles/rust/src                                                                                       |          1 |          8 |          0 |          4 |         12 |
| 3rdparty/corrosion/test/cxxbridge                                                                                                                      |         10 |        151 |          0 |         25 |        176 |
| 3rdparty/corrosion/test/cxxbridge (Files)                                                                                                              |          1 |         19 |          0 |          2 |         21 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_cpp2rust                                                                                                   |          5 |         90 |          0 |         12 |        102 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_cpp2rust (Files)                                                                                           |          2 |         48 |          0 |          8 |         56 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_cpp2rust/include                                                                                           |          1 |          4 |          0 |          2 |          6 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_cpp2rust/rust                                                                                              |          2 |         38 |          0 |          2 |         40 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_cpp2rust/rust/src                                                                                          |          2 |         38 |          0 |          2 |         40 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_rust2cpp                                                                                                   |          4 |         42 |          0 |         11 |         53 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_rust2cpp (Files)                                                                                           |          2 |         23 |          0 |          6 |         29 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_rust2cpp/rust                                                                                              |          2 |         19 |          0 |          5 |         24 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_rust2cpp/rust/src                                                                                          |          2 |         19 |          0 |          5 |         24 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_rust2cpp/rust/src (Files)                                                                                  |          1 |         10 |          0 |          3 |         13 |
| 3rdparty/corrosion/test/cxxbridge/cxxbridge_rust2cpp/rust/src/foo                                                                                      |          1 |          9 |          0 |          2 |         11 |
| 3rdparty/corrosion/test/envvar                                                                                                                         |          4 |         33 |          0 |         11 |         44 |
| 3rdparty/corrosion/test/envvar (Files)                                                                                                                 |          1 |          4 |          0 |          2 |          6 |
| 3rdparty/corrosion/test/envvar/envvar                                                                                                                  |          3 |         29 |          0 |          9 |         38 |
| 3rdparty/corrosion/test/envvar/envvar (Files)                                                                                                          |          2 |         22 |          0 |          8 |         30 |
| 3rdparty/corrosion/test/envvar/envvar/src                                                                                                              |          1 |          7 |          0 |          1 |          8 |
| 3rdparty/corrosion/test/external_corrosion_generator                                                                                                   |          3 |         41 |          0 |          7 |         48 |
| 3rdparty/corrosion/test/external_corrosion_generator (Files)                                                                                           |          1 |         14 |          0 |          0 |         14 |
| 3rdparty/corrosion/test/external_corrosion_generator/ExternalCorrosionGenerator                                                                        |          2 |         27 |          0 |          7 |         34 |
| 3rdparty/corrosion/test/features                                                                                                                       |          4 |         60 |          0 |         15 |         75 |
| 3rdparty/corrosion/test/features (Files)                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| 3rdparty/corrosion/test/features/features                                                                                                              |          3 |         56 |          0 |         13 |         69 |
| 3rdparty/corrosion/test/features/features (Files)                                                                                                      |          2 |         34 |          0 |          8 |         42 |
| 3rdparty/corrosion/test/features/features/rust                                                                                                         |          1 |         22 |          0 |          5 |         27 |
| 3rdparty/corrosion/test/features/features/rust/src                                                                                                     |          1 |         22 |          0 |          5 |         27 |
| 3rdparty/corrosion/test/find_rust                                                                                                                      |          3 |         45 |          0 |         17 |         62 |
| 3rdparty/corrosion/test/find_rust (Files)                                                                                                              |          1 |          2 |          0 |          2 |          4 |
| 3rdparty/corrosion/test/find_rust/find_rust                                                                                                            |          1 |          6 |          0 |          4 |         10 |
| 3rdparty/corrosion/test/find_rust/rustup_proxy                                                                                                         |          1 |         37 |          0 |         11 |         48 |
| 3rdparty/corrosion/test/gensource                                                                                                                      |          5 |         39 |          0 |         11 |         50 |
| 3rdparty/corrosion/test/gensource (Files)                                                                                                              |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/gensource/gensource                                                                                                            |          4 |         35 |          0 |         10 |         45 |
| 3rdparty/corrosion/test/gensource/gensource (Files)                                                                                                    |          1 |         18 |          0 |          6 |         24 |
| 3rdparty/corrosion/test/gensource/gensource/generator                                                                                                  |          2 |          8 |          0 |          2 |         10 |
| 3rdparty/corrosion/test/gensource/gensource/generator (Files)                                                                                          |          1 |          2 |          0 |          1 |          3 |
| 3rdparty/corrosion/test/gensource/gensource/generator/src                                                                                              |          1 |          6 |          0 |          1 |          7 |
| 3rdparty/corrosion/test/gensource/gensource/src                                                                                                        |          1 |          9 |          0 |          2 |         11 |
| 3rdparty/corrosion/test/hostbuild                                                                                                                      |          4 |         30 |          0 |         10 |         40 |
| 3rdparty/corrosion/test/hostbuild (Files)                                                                                                              |          1 |         10 |          0 |          2 |         12 |
| 3rdparty/corrosion/test/hostbuild/hostbuild                                                                                                            |          3 |         20 |          0 |          8 |         28 |
| 3rdparty/corrosion/test/hostbuild/hostbuild (Files)                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| 3rdparty/corrosion/test/hostbuild/hostbuild/src                                                                                                        |          2 |         15 |          0 |          5 |         20 |
| 3rdparty/corrosion/test/multitarget                                                                                                                    |          7 |         60 |          0 |         19 |         79 |
| 3rdparty/corrosion/test/multitarget (Files)                                                                                                            |          1 |         18 |          0 |          5 |         23 |
| 3rdparty/corrosion/test/multitarget/multitarget                                                                                                        |          6 |         42 |          0 |         14 |         56 |
| 3rdparty/corrosion/test/multitarget/multitarget (Files)                                                                                                |          2 |         14 |          0 |          5 |         19 |
| 3rdparty/corrosion/test/multitarget/multitarget/src                                                                                                    |          4 |         28 |          0 |          9 |         37 |
| 3rdparty/corrosion/test/multitarget/multitarget/src (Files)                                                                                            |          1 |          7 |          0 |          3 |         10 |
| 3rdparty/corrosion/test/multitarget/multitarget/src/bin                                                                                                |          3 |         21 |          0 |          6 |         27 |
| 3rdparty/corrosion/test/nostd                                                                                                                          |          4 |         21 |          1 |          8 |         30 |
| 3rdparty/corrosion/test/nostd (Files)                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| 3rdparty/corrosion/test/nostd/nostd                                                                                                                    |          3 |         20 |          1 |          7 |         28 |
| 3rdparty/corrosion/test/nostd/nostd (Files)                                                                                                            |          2 |         12 |          1 |          5 |         18 |
| 3rdparty/corrosion/test/nostd/nostd/rust                                                                                                               |          1 |          8 |          0 |          2 |         10 |
| 3rdparty/corrosion/test/nostd/nostd/rust/src                                                                                                           |          1 |          8 |          0 |          2 |         10 |
| 3rdparty/corrosion/test/output directory                                                                                                               |          8 |        199 |          0 |         42 |        241 |
| 3rdparty/corrosion/test/output directory (Files)                                                                                                       |          2 |        134 |          0 |         24 |        158 |
| 3rdparty/corrosion/test/output directory/output directory                                                                                              |          6 |         65 |          0 |         18 |         83 |
| 3rdparty/corrosion/test/output directory/output directory (Files)                                                                                      |          2 |         51 |          0 |         14 |         65 |
| 3rdparty/corrosion/test/output directory/output directory/proj1                                                                                        |          2 |          7 |          0 |          2 |          9 |
| 3rdparty/corrosion/test/output directory/output directory/proj1/src                                                                                    |          2 |          7 |          0 |          2 |          9 |
| 3rdparty/corrosion/test/output directory/output directory/proj1/src (Files)                                                                            |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/output directory/output directory/proj1/src/bin                                                                                |          1 |          3 |          0 |          1 |          4 |
| 3rdparty/corrosion/test/output directory/output directory/proj2                                                                                        |          2 |          7 |          0 |          2 |          9 |
| 3rdparty/corrosion/test/output directory/output directory/proj2/src                                                                                    |          2 |          7 |          0 |          2 |          9 |
| 3rdparty/corrosion/test/output directory/output directory/proj2/src (Files)                                                                            |          1 |          4 |          0 |          1 |          5 |
| 3rdparty/corrosion/test/output directory/output directory/proj2/src/bin                                                                                |          1 |          3 |          0 |          1 |          4 |
| 3rdparty/corrosion/test/parse_target_triple                                                                                                            |          3 |        116 |          0 |          8 |        124 |
| 3rdparty/corrosion/test/parse_target_triple (Files)                                                                                                    |          1 |          8 |          0 |          2 |         10 |
| 3rdparty/corrosion/test/parse_target_triple/parse_target_triple                                                                                        |          1 |        103 |          0 |          4 |        107 |
| 3rdparty/corrosion/test/parse_target_triple/parse_target_triple_should_fail                                                                            |          1 |          5 |          0 |          2 |          7 |
| 3rdparty/corrosion/test/rust2cpp                                                                                                                       |          4 |         30 |          0 |         11 |         41 |
| 3rdparty/corrosion/test/rust2cpp (Files)                                                                                                               |          1 |          7 |          0 |          3 |         10 |
| 3rdparty/corrosion/test/rust2cpp/rust2cpp                                                                                                              |          3 |         23 |          0 |          8 |         31 |
| 3rdparty/corrosion/test/rust2cpp/rust2cpp (Files)                                                                                                      |          2 |         17 |          0 |          6 |         23 |
| 3rdparty/corrosion/test/rust2cpp/rust2cpp/rust                                                                                                         |          1 |          6 |          0 |          2 |          8 |
| 3rdparty/corrosion/test/rust2cpp/rust2cpp/rust/src                                                                                                     |          1 |          6 |          0 |          2 |          8 |
| 3rdparty/corrosion/test/rustflags                                                                                                                      |          7 |         92 |          2 |         30 |        124 |
| 3rdparty/corrosion/test/rustflags (Files)                                                                                                              |          1 |          5 |          0 |          3 |          8 |
| 3rdparty/corrosion/test/rustflags/cargo_config_rustflags                                                                                               |          2 |         20 |          1 |          8 |         29 |
| 3rdparty/corrosion/test/rustflags/cargo_config_rustflags (Files)                                                                                       |          1 |          8 |          0 |          4 |         12 |
| 3rdparty/corrosion/test/rustflags/cargo_config_rustflags/src                                                                                           |          1 |         12 |          1 |          4 |         17 |
| 3rdparty/corrosion/test/rustflags/rustflags                                                                                                            |          4 |         67 |          1 |         19 |         87 |
| 3rdparty/corrosion/test/rustflags/rustflags (Files)                                                                                                    |          2 |         27 |          0 |          8 |         35 |
| 3rdparty/corrosion/test/rustflags/rustflags/rust                                                                                                       |          2 |         40 |          1 |         11 |         52 |
| 3rdparty/corrosion/test/rustflags/rustflags/rust/some_dependency                                                                                       |          1 |          7 |          1 |          3 |         11 |
| 3rdparty/corrosion/test/rustflags/rustflags/rust/some_dependency/src                                                                                   |          1 |          7 |          1 |          3 |         11 |
| 3rdparty/corrosion/test/rustflags/rustflags/rust/src                                                                                                   |          1 |         33 |          0 |          8 |         41 |
| 3rdparty/corrosion/test/workspace                                                                                                                      |          6 |         53 |          0 |         12 |         65 |
| 3rdparty/corrosion/test/workspace (Files)                                                                                                              |          1 |          4 |          0 |          3 |          7 |
| 3rdparty/corrosion/test/workspace/workspace                                                                                                            |          5 |         49 |          0 |          9 |         58 |
| 3rdparty/corrosion/test/workspace/workspace (Files)                                                                                                    |          2 |         32 |          0 |          6 |         38 |
| 3rdparty/corrosion/test/workspace/workspace/member1                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| 3rdparty/corrosion/test/workspace/workspace/member1/src                                                                                                |          1 |          7 |          0 |          1 |          8 |
| 3rdparty/corrosion/test/workspace/workspace/member2                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| 3rdparty/corrosion/test/workspace/workspace/member2/src                                                                                                |          1 |          7 |          0 |          1 |          8 |
| 3rdparty/corrosion/test/workspace/workspace/member3                                                                                                    |          1 |          3 |          0 |          1 |          4 |
| 3rdparty/corrosion/test/workspace/workspace/member3/src                                                                                                |          1 |          3 |          0 |          1 |          4 |
| 3rdparty/googletest                                                                                                                                    |        230 |     70,153 |     22,940 |     17,356 |    110,449 |
| 3rdparty/googletest (Files)                                                                                                                            |          3 |        235 |          0 |         78 |        313 |
| 3rdparty/googletest/.github                                                                                                                            |          3 |         91 |          0 |          3 |         94 |
| 3rdparty/googletest/.github/ISSUE_TEMPLATE                                                                                                             |          3 |         91 |          0 |          3 |         94 |
| 3rdparty/googletest/ci                                                                                                                                 |          3 |        206 |         78 |         31 |        315 |
| 3rdparty/googletest/docs                                                                                                                               |         24 |     10,237 |          6 |      3,144 |     13,387 |
| 3rdparty/googletest/docs (Files)                                                                                                                       |         15 |      7,765 |          2 |      2,106 |      9,873 |
| 3rdparty/googletest/docs/_data                                                                                                                         |          1 |         43 |          0 |          1 |         44 |
| 3rdparty/googletest/docs/_layouts                                                                                                                      |          1 |         57 |          0 |          2 |         59 |
