Date : 2026-06-15 13:52:14
Directory : /home/morit/Studium/Master/Forschungsprojekt/nextpnr
Total : 1369 files,  325095 codes, 67140 comments, 57768 blanks, all 450003 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/coding.md                                                                                    | Markdown                    |         62 |          0 |         38 |        100 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/constraints.md                                                                               | Markdown                    |         30 |          0 |         15 |         45 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/faq.md                                                                                       | Markdown                    |        164 |          0 |         64 |        228 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/generic.md                                                                                   | Markdown                    |         82 |          0 |         55 |        137 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/himbaechel.md                                                                                | Markdown                    |         20 |          0 |          9 |         29 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/ice40.md                                                                                     | Markdown                    |          9 |          0 |          8 |         17 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/netlist.md                                                                                   | Markdown                    |         71 |          0 |         29 |        100 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/nexus.md                                                                                     | Markdown                    |         13 |          0 |          8 |         21 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/python.md                                                                                    | Markdown                    |         58 |          0 |         28 |         86 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/report.md                                                                                    | Markdown                    |         20 |          0 |          3 |         23 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/docs/viaduct.md                                                                                   | Markdown                    |         89 |          0 |         43 |        132 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/CMakeLists.txt                                                                               | CMake                       |         66 |          0 |          7 |         73 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/arch.cc                                                                                      | C++                         |      1,198 |         45 |        123 |      1,366 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/arch.h                                                                                       | C++                         |        882 |         61 |        154 |      1,097 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/arch_place.cc                                                                                | C++                         |        351 |         78 |         32 |        461 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/arch_pybindings.cc                                                                           | C++                         |         43 |         19 |         18 |         80 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/arch_pybindings.h                                                                            | C++                         |         64 |         19 |         16 |         99 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/archdefs.h                                                                                   | C++                         |        164 |         25 |         30 |        219 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/baseconfigs.cc                                                                               | C++                         |      2,619 |          0 |         11 |      2,630 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/bitstream.cc                                                                                 | C++                         |      1,438 |         62 |        105 |      1,605 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/bitstream.h                                                                                  | C++                         |          7 |         18 |          7 |         32 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/cells.cc                                                                                     | C++                         |        302 |         24 |         56 |        382 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/cells.h                                                                                      | C++                         |         33 |         23 |         17 |         73 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/config.cc                                                                                    | C++                         |        300 |         25 |         34 |        359 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/config.h                                                                                     | C++                         |         72 |         27 |         29 |        128 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/dcu_bitstream.h                                                                              | C++                         |        424 |          0 |          1 |        425 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/docs/primitives.md                                                                           | Markdown                    |         42 |          0 |          3 |         45 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/gfx.cc                                                                                       | C++                         |      1,447 |         37 |         96 |      1,580 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/gfx.h                                                                                        | C++                         |      3,620 |         18 |         76 |      3,714 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/globals.cc                                                                                   | C++                         |        613 |         42 |         35 |        690 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/globals.h                                                                                    | C++                         |          5 |         18 |          4 |         27 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/lpf.cc                                                                                       | C++                         |        155 |         22 |         10 |        187 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/main.cc                                                                                      | C++                         |        253 |         18 |         26 |        297 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/pack.cc                                                                                      | C++                         |      2,842 |        164 |        188 |      3,194 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/pio.cc                                                                                       | C++                         |        191 |         18 |         13 |        222 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/pio.h                                                                                        | C++                         |         39 |         19 |         13 |         71 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/ecp5/trellis_import.py                                                                            | Python                      |        585 |         11 |        114 |        710 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/frontend/CMakeLists.txt                                                                           | CMake                       |          7 |          0 |          3 |         10 |
| /home/morit/Studium/Master/Forschungsprojekt/nextpnr/frontend/frontend_base.h                                                                          | C++                         |        527 |        210 |         38 |        775 |
