"filename", "language", "C++", "CMake", "Markdown", "Python", "Verilog", "Tcl", "Rust", "Shell Script", "YAML", "Xilinx Design Constraints", "System Verilog", "Synopsys Design Constraints", "VHDL", "JSON", "XML", "Batch", "C", "Objective-C++", "Objective-C", "GLSL", "Properties", "reStructuredText", "PostCSS", "pip requirements", "Ini", "HTML", "SCSS", "comment", "blank", "total"
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_typed/mainwindow.cpp", "C++", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 78, 522
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_typed/mainwindow.h", "C++", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 13, 121
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_typed/qtcanvas.cpp", "C++", 2673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2693, 541, 5907
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_typed/qtcanvas.h", "C++", 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 166, 779
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_variant/CMakeLists.txt", "CMake", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_variant/main.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 52
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_variant/mainwindow.cpp", "C++", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 63, 435
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_variant/mainwindow.h", "C++", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 15, 115
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_variant/qtcanvas.cpp", "C++", 2673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2693, 541, 5907
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/canvas_variant/qtcanvas.h", "C++", 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 166, 779
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/decoration/CMakeLists.txt", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/decoration/main.cpp", "C++", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 50, 313
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/demo/CMakeLists.txt", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/demo/main.cpp", "C++", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 30, 216
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/extension/CMakeLists.txt", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/extension/main.cpp", "C++", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 34, 239
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/object_controller/CMakeLists.txt", "CMake", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/object_controller/main.cpp", "C++", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 20, 168
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/object_controller/objectcontroller.cpp", "C++", 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 46, 392
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/object_controller/objectcontroller.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 8, 65
"/home/morit/Studium/Master/Forschungsprojekt/nextpnr/3rdparty/QtPropertyBrowser/examples/simple/CMakeLists.txt", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
